Block,Pattern,Item,Tag,X_Coordination,Y_Coordination,Z_Coordination
AR-difficult,8,Yellow Pyramids,Other Object,(2.1, 1.5, -0.5)
AR-difficult,8,Red Cube,Other Object,(2.4, 0.5, -0.8)
AR-difficult,8,Blue Cylinder,Other Object,(2.7, 1.3, 1.4)
AR-difficult,8,Blue Cube,Other Object,(0.5, 1.2, 0.7)
AR-difficult,9,Blue Pyramids,Other Object,(0.7, 0.8, 0.9)
AR-difficult,9,Blue Sphere,Other Object,(2.7, 1.3, 1.3)
AR-difficult,9,Blue Cylinder,Other Object,(1.4, 0.9, 1.1)
AR-difficult,9,Blue Sphere,Other Object,(2.2, 0.3, 0.2)
AR-difficult,9,Blue Cylinder,Other Object,(2.6, 1.4, -1.2)
AR-difficult,9,Blue Sphere,Other Object,(1.9, 0.8, 0.8)
AR-difficult,9,Blue Cube,Other Object,(1.7, 1.9, -0.4)
AR-difficult,9,Purple Pyramids,Other Object,(1.0, 1.0, -0.5)
AR-difficult,9,Yellow Pyramids,Other Object,(2.4, 2.0, 0.3)
AR-difficult,9,Yellow Pyramids,Other Object,(2.6, 2.2, -1.0)
AR-difficult,9,Yellow Pyramids,Other Object,(2.7, 0.7, -1.4)
AR-difficult,9,Yellow Pyramids,Other Object,(2.1, 1.9, 0.9)
AR-difficult,9,Red Pyramids,Other Object,(1.2, 0.6, -0.8)
AR-difficult,9,Purple Sphere,Other Object,(2.6, 0.4, -0.6)
AR-difficult,9,Yellow Cube,Other Object,(1.7, 1.2, -1.0)
AR-difficult,9,Purple Sphere,Other Object,(2.7, 1.4, 0.1)
AR-difficult,9,Purple Cylinder,Other Object,(2.3, 1.3, 0.8)
AR-difficult,9,Red Cube,Other Object,(2.6, 1.2, -0.4)
AR-difficult,9,Yellow Sphere,Other Object,(2.5, 2.1, 1.1)
AR-difficult,10,Purple Cylinder,Other Object,(2.4, 2.2, 0.8)
AR-difficult,10,Purple Sphere,Other Object,(1.9, 1.3, -0.2)
AR-difficult,10,Purple Sphere,Other Object,(2.0, 0.9, 0.6)
AR-difficult,10,Purple Cube,Other Object,(0.6, 0.8, 0.8)
AR-difficult,10,Purple Sphere,Other Object,(1.1, 1.0, 0.8)
AR-difficult,10,Purple Cube,Other Object,(2.7, 1.2, 0.9)
AR-difficult,10,Purple Sphere,Other Object,(2.7, 2.2, 0.1)
AR-difficult,10,Blue Cylinder,Other Object,(1.5, 0.9, -0.3)
AR-difficult,10,Yellow Cylinder,Other Object,(2.2, 0.3, -0.6)
AR-difficult,10,Red Cylinder,Other Object,(2.5, 1.3, -0.2)
AR-difficult,10,Blue Cylinder,Other Object,(2.4, 1.4, -0.9)
AR-difficult,10,Red Cylinder,Other Object,(2.2, 1.6, 0.1)
AR-difficult,10,Yellow Cylinder,Other Object,(0.7, 1.6, 0.4)
AR-difficult,10,Yellow Sphere,Other Object,(2.8, 0.1, 0.3)
AR-difficult,10,Yellow Sphere,Other Object,(2.7, 0.5, 1.3)
AR-difficult,10,Red Pyramids,Other Object,(1.5, 0.8, 0.2)
AR-difficult,10,Yellow Cube,Other Object,(1.6, 0.7, 1.2)
AR-difficult,10,Red Cube,Other Object,(1.7, 1.3, 1.0)
AR-difficult,10,Yellow Pyramids,Other Object,(1.2, 1.3, -0.7)
AR-difficult,11,Yellow Cylinder,Other Object,(1.9, 1.9, 0.9)
AR-difficult,11,Yellow Sphere,Other Object,(1.2, 1.1, 0.7)
AR-difficult,11,Yellow Sphere,Other Object,(2.4, 0.7, 1.5)
AR-difficult,11,Yellow Cube,Other Object,(2.4, 0.8, -0.6)
AR-difficult,11,Yellow Sphere,Other Object,(2.3, 1.2, 0.8)
AR-difficult,11,Yellow Cube,Other Object,(1.6, 0.9, 0.1)
AR-difficult,11,Yellow Pyramids,Other Object,(1.9, 0.4, -1.0)
AR-difficult,11,Blue Cylinder,Other Object,(2.0, 0.9, 0.4)
AR-difficult,11,Blue Cylinder,Other Object,(1.3, 1.3, -0.5)
AR-difficult,11,Red Cylinder,Other Object,(2.6, 2.0, 0.5)
AR-difficult,11,Blue Cylinder,Other Object,(2.0, 1.4, 1.3)
AR-difficult,11,Blue Cylinder,Other Object,(0.9, 1.5, 1.0)
AR-difficult,11,Red Cylinder,Other Object,(0.4, 0.8, 0.0)
AR-difficult,11,Purple Cube,Other Object,(1.8, 0.7, -0.4)
AR-difficult,11,Purple Sphere,Other Object,(1.9, 0.5, 1.1)
AR-difficult,11,Blue Sphere,Other Object,(2.1, 1.5, 0.2)
AR-difficult,11,Red Pyramids,Other Object,(1.2, 1.9, -0.5)
AR-difficult,11,Blue Pyramids,Other Object,(1.8, 1.4, -0.8)
AR-difficult,11,Purple Pyramids,Other Object,(2.5, 2.1, -1.0)
AR-difficult,12,Purple Pyramids,Other Object,(1.9, 0.7, -0.5)
AR-difficult,12,Purple Cube,Other Object,(1.9, 1.3, 0.0)
AR-difficult,12,Purple Cube,Other Object,(2.5, 1.1, 0.5)
AR-difficult,12,Purple Sphere,Other Object,(0.6, 1.2, 0.8)
AR-difficult,12,Purple Cylinder,Other Object,(2.5, 1.1, -0.7)
AR-difficult,12,Purple Cube,Other Object,(1.9, 2.0, 0.5)
AR-difficult,12,Purple Cube,Other Object,(1.2, 0.8, 0.7)
AR-difficult,12,Yellow Pyramids,Other Object,(1.7, 1.4, 1.3)
AR-difficult,12,Yellow Pyramids,Other Object,(2.6, 0.4, 0.7)
AR-difficult,12,Blue Pyramids,Other Object,(1.8, 0.4, 1.0)
AR-difficult,12,Red Pyramids,Other Object,(2.5, 2.1, 0.6)
AR-difficult,12,Yellow Pyramids,Other Object,(0.8, 1.4, -0.1)
AR-difficult,12,Blue Pyramids,Other Object,(2.6, 0.2, -1.3)
AR-difficult,12,Blue Sphere,Other Object,(2.2, 1.7, -0.6)
AR-difficult,12,Yellow Sphere,Other Object,(1.0, 1.8, 0.5)
AR-difficult,12,Red Cylinder,Other Object,(1.4, 1.6, -0.5)
AR-difficult,12,Blue Cube,Other Object,(2.6, 1.8, 1.3)
AR-difficult,12,Blue Sphere,Other Object,(2.5, 0.9, -1.2)
AR-difficult,12,Red Cylinder,Other Object,(2.2, 0.3, 0.5)
AR-difficult,13,Blue Cube,Other Object,(2.2, 0.7, 0.0)
AR-difficult,13,Blue Sphere,Other Object,(2.0, 1.3, 0.7)
AR-difficult,13,Blue Cylinder,Other Object,(2.6, 1.1, -0.8)
AR-difficult,13,Blue Pyramids,Other Object,(2.2, 1.9, 1.3)
AR-difficult,13,Blue Sphere,Other Object,(2.4, 2.0, -1.1)
AR-difficult,13,Blue Pyramids,Other Object,(2.7, 0.5, -1.4)
AR-difficult,13,Blue Sphere,Other Object,(1.3, 0.6, -0.1)
AR-difficult,13,Red Cube,Other Object,(2.6, 1.2, 0.2)
AR-difficult,13,Purple Cube,Other Object,(2.0, 0.5, 1.3)
AR-difficult,13,Yellow Cube,Other Object,(1.4, 1.7, 0.8)
AR-difficult,13,Red Cube,Other Object,(1.4, 1.4, -0.8)
AR-difficult,13,Red Cube,Other Object,(1.8, 1.5, 0.1)
AR-difficult,13,Red Cube,Other Object,(0.7, 1.5, -0.4)
AR-difficult,13,Red Cylinder,Other Object,(0.4, 1.7, 0.9)
AR-difficult,13,Purple Sphere,Other Object,(2.1, 0.7, -0.7)
AR-difficult,13,Purple Sphere,Other Object,(1.6, 2.0, 1.3)
AR-difficult,13,Red Sphere,Other Object,(2.1, 2.0, -0.3)
AR-difficult,13,Yellow Sphere,Other Object,(0.5, 0.9, -0.4)
AR-difficult,13,Red Pyramids,Other Object,(2.5, 2.2, 0.2)
AR-difficult,14,Yellow Sphere,Other Object,(0.9, 0.9, 0.1)
AR-difficult,14,Yellow Cylinder,Other Object,(1.8, 0.7, -0.1)
AR-difficult,14,Yellow Pyramids,Other Object,(2.6, 1.0, 1.1)
AR-difficult,14,Yellow Cylinder,Other Object,(2.3, 2.0, 0.6)
AR-difficult,14,Yellow Pyramids,Other Object,(1.0, 1.6, 0.1)
AR-difficult,14,Yellow Pyramids,Other Object,(2.6, 2.2, -0.9)
AR-difficult,14,Yellow Cylinder,Other Object,(2.4, 0.4, -0.1)
AR-difficult,14,Red Sphere,Other Object,(1.9, 0.9, 0.6)
AR-difficult,14,Red Sphere,Other Object,(1.9, 0.6, -0.7)
AR-difficult,14,Purple Sphere,Other Object,(1.4, 1.6, 1.1)
AR-difficult,14,Red Sphere,Other Object,(2.8, 1.9, 0.1)
AR-difficult,14,Red Sphere,Other Object,(2.3, 2.1, -0.5)
AR-difficult,14,Blue Sphere,Other Object,(2.4, 2.0, 1.5)
AR-difficult,14,Red Cube,Other Object,(2.5, 1.1, 0.4)
AR-difficult,14,Purple Pyramids,Other Object,(0.9, 1.1, 1.0)
AR-difficult,14,Purple Pyramids,Other Object,(1.9, 1.4, 0.7)
AR-difficult,14,Blue Cylinder,Other Object,(1.6, 1.2, 0.1)
AR-difficult,14,Blue Cylinder,Other Object,(1.2, 0.8, -0.7)
AR-difficult,14,Blue Cube,Other Object,(2.8, 0.6, -0.5)
AR-difficult,15,Purple Cylinder,Other Object,(2.5, 1.0, -0.8)
AR-difficult,15,Purple Sphere,Other Object,(2.4, 1.4, 0.4)
AR-difficult,15,Purple Pyramids,Other Object,(1.4, 1.3, 0.4)
AR-difficult,15,Purple Sphere,Other Object,(1.7, 1.5, 0.0)
AR-difficult,15,Purple Pyramids,Other Object,(2.1, 0.6, 1.4)
AR-difficult,15,Purple Sphere,Other Object,(2.6, 0.3, 0.4)
AR-difficult,15,Purple Cube,Other Object,(2.6, 2.1, 1.4)
AR-difficult,15,Yellow Cylinder,Other Object,(0.7, 1.3, -0.1)
AR-difficult,15,Blue Cylinder,Other Object,(1.5, 0.6, 0.9)
AR-difficult,15,Blue Cylinder,Other Object,(0.6, 0.8, 0.5)
AR-difficult,15,Blue Cylinder,Other Object,(1.2, 0.7, 0.2)
AR-difficult,15,Red Cylinder,Other Object,(2.1, 0.8, 0.8)
AR-difficult,15,Yellow Cylinder,Other Object,(0.9, 1.0, -0.5)
AR-difficult,15,Yellow Cube,Other Object,(2.4, 2.2, -0.2)
AR-difficult,15,Red Sphere,Other Object,(1.7, 0.7, -1.0)
AR-difficult,15,Yellow Cube,Other Object,(2.7, 1.7, -0.5)
AR-difficult,15,Blue Pyramids,Other Object,(2.6, 0.3, -0.5)
AR-difficult,15,Yellow Cube,Other Object,(2.3, 1.9, 0.9)
AR-difficult,15,Blue Cube,Other Object,(1.1, 1.8, 0.8)
AR-difficult,16,Purple Pyramids,Other Object,(2.4, 0.8, -0.3)
AR-difficult,16,Purple Cylinder,Other Object,(1.3, 1.9, -0.2)
AR-difficult,16,Purple Sphere,Other Object,(1.4, 1.3, -0.2)
AR-difficult,16,Purple Cylinder,Other Object,(2.2, 2.0, 1.5)
AR-difficult,16,Purple Cylinder,Other Object,(1.1, 1.4, -0.7)
AR-difficult,16,Purple Sphere,Other Object,(2.7, 2.1, 1.6)
AR-difficult,16,Purple Cylinder,Other Object,(2.6, 0.2, 0.4)
AR-difficult,16,Blue Pyramids,Other Object,(2.7, 1.1, -0.9)
AR-difficult,16,Yellow Pyramids,Other Object,(2.6, 1.7, -0.9)
AR-difficult,16,Red Pyramids,Other Object,(0.4, 1.4, 0.0)
AR-difficult,16,Yellow Pyramids,Other Object,(2.0, 1.2, 0.1)
AR-difficult,16,Blue Pyramids,Other Object,(2.2, 1.6, 0.7)
AR-difficult,16,Red Pyramids,Other Object,(2.6, 0.2, 1.0)
AR-difficult,16,Blue Sphere,Other Object,(1.8, 2.0, 0.2)
AR-difficult,16,Blue Cylinder,Other Object,(2.8, 0.3, -0.2)
AR-difficult,16,Red Sphere,Other Object,(2.4, 1.1, 0.6)
AR-difficult,16,Blue Cube,Other Object,(1.6, 2.0, -0.8)
AR-difficult,16,Yellow Cylinder,Other Object,(2.6, 0.2, -0.8)
AR-difficult,16,Red Cylinder,Other Object,(1.4, 1.1, 1.2)
AR-difficult,17,Red Cylinder,Other Object,(1.7, 0.9, 0.0)
AR-difficult,17,Red Pyramids,Other Object,(1.8, 2.0, -0.2)
AR-difficult,17,Red Pyramids,Other Object,(1.0, 1.0, 1.0)
AR-difficult,17,Red Cube,Other Object,(2.1, 0.3, 1.1)
AR-difficult,17,Red Pyramids,Other Object,(1.0, 1.6, -0.4)
AR-difficult,17,Red Cube,Other Object,(2.0, 1.3, 0.0)
AR-difficult,17,Red Sphere,Other Object,(2.4, 0.8, 1.2)
AR-difficult,17,Blue Cylinder,Other Object,(2.5, 1.2, 0.4)
AR-difficult,17,Purple Cylinder,Other Object,(2.2, 0.6, -0.4)
AR-difficult,17,Purple Cylinder,Other Object,(1.3, 1.3, 0.7)
AR-difficult,17,Blue Cylinder,Other Object,(2.7, 1.2, 1.5)
AR-difficult,17,Yellow Cylinder,Other Object,(1.1, 1.7, 0.9)
AR-difficult,17,Purple Cylinder,Other Object,(2.7, 2.0, 1.8)
AR-difficult,17,Purple Cube,Other Object,(1.5, 1.4, 1.2)
AR-difficult,17,Blue Pyramids,Other Object,(2.6, 1.6, 0.0)
AR-difficult,17,Blue Pyramids,Other Object,(0.6, 1.8, 0.0)
AR-difficult,17,Purple Cube,Other Object,(1.7, 1.0, -0.5)
AR-difficult,17,Purple Pyramids,Other Object,(0.5, 1.3, 0.4)
AR-difficult,17,Blue Sphere,Other Object,(0.4, 0.9, 0.8)
AR-difficult,18,Purple Cube,Other Object,(1.9, 1.4, 0.1)
AR-difficult,18,Purple Cylinder,Other Object,(2.4, 1.9, -1.1)
AR-difficult,18,Purple Sphere,Other Object,(2.7, 1.7, 0.3)
AR-difficult,18,Purple Sphere,Other Object,(0.5, 1.2, -0.1)
AR-difficult,18,Purple Cylinder,Other Object,(0.9, 1.8, 0.0)
AR-difficult,18,Purple Cylinder,Other Object,(2.5, 0.9, -0.3)
AR-difficult,18,Purple Pyramids,Other Object,(1.8, 0.8, -0.9)
AR-difficult,18,Red Cube,Other Object,(2.4, 0.4, -0.8)
AR-difficult,18,Red Cube,Other Object,(2.5, 2.2, 0.3)
AR-difficult,18,Blue Cube,Other Object,(2.5, 1.4, -0.4)
AR-difficult,18,Yellow Cube,Other Object,(1.5, 0.8, -0.4)
AR-difficult,18,Red Cube,Other Object,(1.0, 1.7, 0.8)
AR-difficult,18,Yellow Cube,Other Object,(1.9, 0.4, -0.2)
AR-difficult,18,Blue Sphere,Other Object,(2.6, 1.0, -1.1)
AR-difficult,18,Red Cylinder,Other Object,(2.1, 1.8, 1.1)
AR-difficult,18,Blue Pyramids,Other Object,(1.2, 1.9, -0.6)
AR-difficult,18,Blue Cylinder,Other Object,(2.6, 1.3, 1.0)
AR-difficult,18,Red Pyramids,Other Object,(2.5, 0.4, 0.5)
